My Fuel Manager - COSTS
Date;Total price;Currency;Finance category;Odometer;Note;Vehicle name
12/8/2017;800;USD;"WORK";313700;"ЗаменаМасла, фильтра. РИМЭКС";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/5/2017;9570.44;USD;"WORK";307873;"Лодзь, Дилер Ауди, замена и мойка, передний правый ступичный подшипник";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/5/2017;18000;USD;"Replacement parts";307873;"Передний правый ступичный подшипник. VAG 4H0498625F";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/2/2017;4702.41;USD;"Diagnostic";306756;"Вильнюс, Диагностика электроники и ступичного подшипника (правый)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/2/2017;1;USD;"WORK";306756;"Перепрошивка из-за Дизельгейта, Вильнюс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2017;145;USD;"Replacement parts";302898;"Тосол Феликс G12+";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2017;500;USD;"WORK";302898;"Замена масла, фильтра Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2017;400;USD;"WORK";302898;"Установка защиты, римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2017;1;USD;"WORK";302898;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/30/2017;3417;USD;"Replacement parts";301500;"Моторное маслоLiqui Moly 7661, Autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/30/2017;400;USD;"Replacement parts";301500;"Масляный фильтр VAG 071115562C ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/30/2017;553;USD;"Replacement parts";301500;"Воздушный фильтр MANN C32130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/29/2017;9600;USD;"WORK";301335;"Замена сцепления и корзины на Sachs. ПРЕМИУМ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/29/2017;1;USD;"WORK";301335;"Установка кронштейна крепления. Перед справа. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/23/2017;1615;USD;"WORK";301176;"Замена резины на зиму. Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/23/2017;635;USD;"Replacement parts";301179;"Кронштейн,  8K0805528A, autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/19/2017;16750;USD;"Replacement parts";298100;"Комплект Сцепления, Sachs 3000970072";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/22/2017;1000;USD;"WORK";295800;"Замена задних колодок, Рейн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/15/2017;1;USD;"WORK";295690;"Замена передних колодок. Появился шум, скрип. Думал передние - оказались задник. Износ передних порядка 60%, отдал Паше. Можно будет докатать. Нужна замена задних";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/15/2017;2660;USD;"Replacement parts";295690;"Передние колодки TRW GDB1814. Автодок";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/3/2017;1;USD;"WORK";290500;"Замена салонного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/19/2017;1;USD;"WORK";289470;"Замена пары задних амортизаторов (SACHS). Своими силами";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;3600;USD;"WORK";289400;"Замена ремня ГРМ. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;600;USD;"WORK";289400;"Замена насоса охлаждающей жидкости. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;240;USD;"WORK";289400;"Замена ролика обводного вала. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;960;USD;"WORK";289400;"Замена натяжного ролика обводного ремня";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;1340;USD;"Replacement parts";289400;"Ролик натяжителя поликлиноаого ремня.INA 532046810. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;2720;USD;"Replacement parts";289400;"Ролик натяжителя поликлинового ремня. INA 534016410. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/18/2017;940;USD;"Replacement parts";289400;"Поликлиникой ремень. DAYCO 6PK1580S. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/17/2017;8169;USD;"Replacement parts";289385;"Рем комплект ГРМ  Contitech CT 1134 K1";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/17/2017;2529;USD;"Replacement parts";289385;"Помпа, HEPU P 654";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/17/2017;5566;USD;"Replacement parts";289385;"АМОРТИЗАТОР задний Sachs 313 366, 2x2783";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/14/2017;1584;USD;"WORK";289200;"Смена резины зима-лето, римэкс, ремина";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2017;570;USD;"WORK";287527;"Замена масла, Фильтра. Римэкс на уральской";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2017;1;USD;"WORK";287527;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2017;412;USD;"Replacement parts";287500;"Фильтр маслянный. VAG 071115562C. Autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2017;3061;USD;"Oil";287500;"Масло моторное, Liqui Moly 7661. Autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2017;532;USD;"Replacement parts";287500;"Воздушный фильтр, MANN C32130. Autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/28/2016;1550;USD;"WORK";281460;"Замена колес, на зиму. Римэкс на учителей";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/28/2016;18080;USD;"Replacement parts";281460;"4 зимних колеса Nokian Nordman rs2, 205/60r16. E96";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/28/2016;782;USD;"Replacement parts";281460;"Накладка на бампер, левая. Экзист";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2016;778;USD;"Replacement parts";280936;"Накладка на бампер, правая";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/22/2016;360;USD;"WORK";276980;"Замена тормозной жидкости, Талдыкурган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/22/2016;720;USD;"WORK";276980;"Замена жидкости ГУР, VAG G004000M2 Талдыкурган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2016;444;USD;"Replacement parts";274120;"Маслянный фильтр, VAG 071115562c, exist";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2016;849;USD;"Replacement parts";274120;"Фильтр салона угольный, Mann CUK 2450.  Exist";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2016;887;USD;"Replacement parts";274120;"Жидкость ГУР, VAG G004000M2, Exist 1 л";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2016;540;USD;"Oil";274120;"Замена масла и Фильтра, Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/13/2016;192;USD;"Replacement parts";273258;"Покупка краски для подкраски крыльев";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/13/2016;1;USD;"WORK";273258;"Подкраска крыльев по кругу";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2016;2800;USD;"Oil";272000;"Покупка масла в metro";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/1/2016;816;USD;"Replacement parts";271255;"2 ремкомплекта направляющих втулок переднего суппорта. АТЕ 11.0101-5409.2";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/24/2016;1000;USD;"Diagnostic";271060;"Диагностика электроники (3 ошибки), сброс сервисного интервала. Рейн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/10/2016;1;USD;"WORK";270400;"Установка защиты картера и коробки";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/10/2016;1;USD;"WORK";270400;"Замена передних тяг стабилизатора,левый и правый";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/3/2016;2200;USD;"Replacement parts";270000;"Покупка защиты картера, alfeco,нрвомосковский рынок";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/27/2016;1969;USD;"Replacement parts";269000;"Щетки стеклоочистителя, vag 8k1998002A, autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/24/2016;5654;USD;"Replacement parts";269000;"2 шт, Стойка стабилизатора переднего, VAG 4M0411317, Exist";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/9/2016;1200;USD;"WORK";267300;"Замена передних ступичных подшипников, талдыкурган, Руслан";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/4/2016;9500;USD;"Replacement parts";267000;"Покупка 2х ступичных подшипников, swag. Алмата,47 тыс тенге,   carcity";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/2/2016;200;USD;"Diagnostic";265840;"Диагностика подвески. Ступичные подшипники менять - оба.стойки стабилизатора передние - обе. Подушка коробки - пора. Задние амортизаторы пора менять. Талдыкурган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/29/2016;1;USD;"WORK";265640;"Замена салонного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/29/2016;1;USD;"WORK";265640;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/23/2016;840;USD;"Replacement parts";262420;"Салонный фильтр CU2450,MANN. Обычный, не угольный";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/26/2016;700;USD;"WORK";261710;"Замена передних колодок, Рейн. Стерлись почти до металла. Порекомендовали заменить передние диски тормозные";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/26/2016;500;USD;"WORK";261710;"Балансировка передних колес. Рейн. Били на скорости 120, итог - правое переднее колесо кривое. Нужно править";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/26/2016;1150;USD;"WORK";261719;"Правка переднего правого колеса, Подкова. ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/25/2016;3380;USD;"Replacement parts";261682;"Передник колодки textar 2470601";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/18/2016;540;USD;"Oil";261476;"Замена масла и фильтра (римэкс, уральская), 4 литра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/12/2016;1400;USD;"Replacement parts";260620;"масляный фильтр hu 719/7x, воздушный фильтр c32130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/12/2016;4899;USD;"Replacement parts";260620;"Масло liqui moly 5w30";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;6400;USD;"Replacement parts";250000;"2 задних тормозных диска. Brembo";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;3560;USD;"Replacement parts";250000;"Задние тормозные колодки, gafler. Премиум-авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;2760;USD;"Replacement parts";250000;"4 свечи накаливания. Bosch. Премиум авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;960;USD;"Diagnostic";25000;"Диагностика ДВС - В морозы автомобиль плохо заводился. Проблема - отказали свечи накаливания. Премиум авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;1680;USD;"WORK";250000;"Замена задних тормозных дисков. Премиум авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;480;USD;"WORK";250000;"Замена 4 свечей накаливания по итогу диагностики. Премиум авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2015;360;USD;"WORK";250000;"Замена топливного фильтра. Премиум авто";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/18/2015;1180;USD;"Replacement parts";248500;"Фильтр топливный, Exist.ru. MANN WK 6003";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/18/2015;540;USD;"Replacement parts";248500;"Тормозная жидкость 1 л. Exists. Vag b 000 750 M3";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2015;450;USD;"WORK";247000;"Замена масла, фильтра. Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/28/2015;700;USD;"Replacement parts";232393;"Покупка воздушного фильтра, Mann c32 130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/28/2015;900;USD;"Replacement parts";232382;"Замена колодок задних, Рейн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/28/2015;500;USD;"Oil";232382;"Замена масла, фильтра, Рейн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/27/2015;910;USD;"Washing";232336;"Комплекс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/17/2015;9600;USD;"Replacement parts";227921;"Замена маховика, Премьер";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/17/2015;960;USD;"Diagnostic";227921;"Диагностика - неисправна лягушка. Премьер ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/16/2015;25500;USD;"Replacement parts";0;"Маховик двухмассовый. Покупка";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/29/2014;23314;USD;"Replacement parts";218233;"Замена опор двигателя";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/29/2014;450;USD;"Oil";218247;"Замена масла и фильтра (man filter hu 719/7x)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/25/2014;3150;USD;"Oil";0;"Liqyumoil 5w-30, фильтр";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/12/2013;950;USD;"Washing";0;"Мойка и чистка кузова от почек";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
